102
50050;8920948340;5300.92
50054;8920948341;5600.92
50058;8920948342;5900.92
50062;8920948343;6200.92
50066;8920948344;6500.92
50070;8920948345;6800.92
50074;8920948346;7100.92
50078;8920948347;7400.92
50082;8920948348;7700.92
50086;8920948349;8000.92
50090;89209483410;8300.92
50094;89209483411;8600.92
50098;89209483412;8900.92
50102;89209483413;9200.92
50106;89209483414;9500.92
50110;89209483415;9800.92
50114;89209483416;10100.92
50118;89209483417;10400.92
50122;89209483418;10700.92
50126;89209483419;11000.92
50130;89209483420;11300.92
50134;89209483421;11600.92
50138;89209483422;11900.92
50142;89209483423;12200.92
50146;89209483424;12500.92
50150;89209483425;12800.92
50154;89209483426;13100.92
50158;89209483427;13400.92
50162;89209483428;13700.92
50166;89209483429;14000.92
50170;89209483430;14300.92
50174;89209483431;14600.92
50178;89209483432;14900.92
50182;89209483433;15200.92
50186;89209483434;15500.92
50190;89209483435;15800.92
50194;89209483436;16100.92
50198;89209483437;16400.92
50202;89209483438;16700.92
50206;89209483439;17000.92
50210;89209483440;17300.92
50214;89209483441;17600.92
50218;89209483442;17900.92
50222;89209483443;18200.92
50226;89209483444;18500.92
50230;89209483445;18800.92
50234;89209483446;19100.92
50238;89209483447;19400.92
50242;89209483448;19700.92
50246;89209483449;20000.92
50250;89209483450;20300.92
50254;89209483451;20600.92
50258;89209483452;20900.92
50262;89209483453;21200.92
50266;89209483454;21500.92
50270;89209483455;21800.92
50274;89209483456;22100.92
50278;89209483457;22400.92
50282;89209483458;22700.92
50286;89209483459;23000.92
50290;89209483460;23300.92
50294;89209483461;23600.92
50298;89209483462;23900.92
50302;89209483463;24200.92
50306;89209483464;24500.92
50310;89209483465;24800.92
50314;89209483466;25100.92
50318;89209483467;25400.92
50322;89209483468;25700.92
50326;89209483469;26000.92
50330;89209483470;26300.92
50334;89209483471;26600.92
50338;89209483472;26900.92
50342;89209483473;27200.92
50346;89209483474;27500.92
50350;89209483475;27800.92
50354;89209483476;28100.92
50358;89209483477;28400.92
50362;89209483478;28700.92
50366;89209483479;29000.92
50370;89209483480;29300.92
50374;89209483481;29600.92
50378;89209483482;29900.92
50382;89209483483;30200.92
50386;89209483484;30500.92
50390;89209483485;30800.92
50394;89209483486;31100.92
50398;89209483487;31400.92
50402;89209483488;31700.92
50406;89209483489;32000.92
50410;89209483490;32300.92
50414;89209483491;32600.92
50418;89209483492;32900.92
50422;89209483493;33200.92
50426;89209483494;33500.92
50430;89209483495;33800.92
50434;89209483496;34100.92
50438;89209483497;34400.92
50442;89209483498;34700.92
50446;89209483499;35000.92
24;32987623612;3232.44
17;32874527211;908.44
